access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.1023241997e+01,3.9279577017e+01,2.6025736418e+08,2.7181048379e+08
write,1,4.1023103952e+01,3.8383430004e+01,2.6025823995e+08,2.7815650740e+08
write,2,4.1023127079e+01,3.8275836945e+01,2.6025809323e+08,2.7893840303e+08
write,3,4.1023123026e+01,3.7785855055e+01,2.6025811895e+08,2.8255549111e+08
write,4,4.1023119926e+01,3.7328186035e+01,2.6025813861e+08,2.8601981414e+08
write,5,4.1023118973e+01,3.4972439051e+01,2.6025814466e+08,3.0528613736e+08
write,6,4.1023120880e+01,4.1020736933e+01,2.6025813256e+08,2.6027325763e+08
write,7,4.1023121119e+01,3.5373258114e+01,2.6025813105e+08,3.0182689979e+08
