access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,7.4665079117e+00,7.4656782150e+00,6.3739166640e+07,6.3746250279e+07
write,1,7.4667580128e+00,3.8116230965e+00,6.3737031679e+07,1.2485730618e+08
write,2,7.4665181637e+00,7.4656798840e+00,6.3739079122e+07,6.3746236029e+07
write,3,7.4665150642e+00,7.4656798840e+00,6.3739105581e+07,6.3746236029e+07
