access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,8.9116809368e+00,8.9108760357e+00,5.3402831113e+07,5.3407654881e+07
read,1,8.9118809700e+00,8.9108760357e+00,5.3401632450e+07,5.3407654881e+07
read,2,8.9116868973e+00,8.9108769894e+00,5.3402795395e+07,5.3407649165e+07
read,3,8.9116868973e+00,8.9108769894e+00,5.3402795395e+07,5.3407649165e+07
