access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.8421363831e-03,6.6349506378e-03,5.4962950012e+07,5.6679246091e+07
read,1,6.8421363831e-03,6.6359043121e-03,5.4962950012e+07,5.6671100473e+07
read,2,6.8528652191e-03,6.6359043121e-03,5.4876900096e+07,5.6671100473e+07
read,3,6.8538188934e-03,6.6359043121e-03,5.4869264252e+07,5.6671100473e+07
