access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.0910114050e+01,4.0909747124e+01,9.1924456515e+03,9.1925281000e+03
write,1,4.0910243988e+01,4.0149132013e+01,9.1924164547e+03,9.3666782105e+03
write,2,4.0910125971e+01,4.0909759045e+01,9.1924429729e+03,9.1925254214e+03
write,3,4.0910125971e+01,4.0909753084e+01,9.1924429729e+03,9.1925267607e+03
