access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.5363088131e+01,2.5362708092e+01,5.3365027705e+08,5.3365827336e+08
read,1,2.5363073111e+01,2.5362709045e+01,5.3365059309e+08,5.3365825329e+08
read,2,2.5363126993e+01,2.5362710953e+01,5.3364945938e+08,5.3365821316e+08
read,3,2.5363126040e+01,2.5362710953e+01,5.3364947944e+08,5.3365821316e+08
