access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,8.8814471960e+01,8.8813194990e+01,1.5239654878e+08,1.5239873996e+08
write,1,8.8814491034e+01,6.8596579075e+01,1.5239651605e+08,1.9731332365e+08
write,2,8.8814470053e+01,7.2354033947e+01,1.5239655205e+08,1.8706654308e+08
write,3,8.8814468861e+01,7.0488166094e+01,1.5239655409e+08,1.9201831680e+08
